customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,signup_date,churn,internal_flag
17267,female,0,No,Yes,41,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,53.77,848.51,8/2/2024,No,A
9242,Female,0,Yes,No,27,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card,84.76,6916.82,7/15/2022,No,A
19107,Male,1,Yes,Yes,36,Yes,Yes,DSL,No,Y,No internet service,No,No,Yes,Month-to-month,Y,Mailed check,28.61,1099.85,7/17/2024,No,A
8986,Female,0,No,No,1,N,N,No,No,No,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,119.07,6943.98,6/4/2024,No,A
2867,Male,0,No,Yes,20,Yes,Yes,fiber,No,Yes,No internet service,No,N,Yes,Month-to-month,No,Electronic check,108.74,5279.77,4/30/2023,No,A
3302,Female,1,No,No,42,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month to month,Yes,Credit card,55.79,605.88,3/2/2022,No,A
20661,female,Yes,No,Yes,20,No,Yes,Fiber optic,No internet service,No,No internet service,Yes,Y,No,One Year,Yes,e-check,110.69,2376.13,11/22/2024,No,A
10234,Female,Yes,No,No,34,Yes,N,Fiber optic,Y,No,Yes,No,No,Yes,One year,Yes,E-check,77.83,1405.22,1/1/2021,No,A
17456,female,0,Y,No,61,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,No internet service,Yes,Two year,Yes,Credit card,93.42,6018.92,6/2/2023,No,A
9474,Male,1,No,Yes,71,Yes,Y,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,Yes,One year,No,Electronic check,,6337,6/29/2023,No,A
15781,F,0,Yes,Yes,66,Yes,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,42.72,6466.08,11/6/2024,No,A
1829,Female,0,No,No,17,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No internet service,One year,Yes,Credit card,77.71,6959.68,6/14/2020,No,A
3982,Male,1,No,N,6,Yes,N,No,No,No internet service,No internet service,No internet service,No,No,One year,No,Mailed check,35.28,659.67,5/8/2023,Yes,A
19075,Male,0,Yes,No,65,Yes,No phone service,DSL,No internet service,Yes,Yes,No,Yes,Y,Two year,N,e-check,92.86,2951.16,5/2/2020,No,A
13190,Female,0,Yes,Yes,59,No,No,DSL,No internet service,No,Yes,No internet service,No,No,Two Year,Yes,E-check,72.65,2443.94,2/7/2023,No,A
5000,Male,0,No,No,55,Yes,No,Fiber optic,Yes,No internet service,Yes,No,Y,No,One year,No,Bank transfer,84.7,4653.91,3/17/2023,No,A
9179,Male,0,Yes,N,33,Yes,N,Fiber optic,Yes,No,Yes,No internet service,Yes,Yes,Month-to-month,No,e-check,60.27,6165.34,12/24/2022,No,A
19901,Male,0,Yes,Yes,8,Yes,No phone service,No,Yes,No,Yes,No,No,No,Month-to-month,No,e-check,110.59,7286.05,3/2/2024,Yes,A
7904,Female,0,Yes,No,43,Y,No,DSL,Yes,No,Yes,No,No internet service,No,One year,No,Electronic check,87.22,5466.61,9/17/2021,Yes,A
20295,female,0,Yes,Yes,69,Yes,No phone service,fiber,No internet service,Yes,No internet service,Y,No,Yes,Two year,No,Bank transfer,66.68,6010.68,8/22/2022,No,A
5105,Male,0,Yes,No,70,Y,No phone service,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer,66.42,644,7/21/2023,No,A
5412,Male,0,Yes,Yes,61,Yes,Y,DSL,No,No internet service,No,No internet service,Yes,No,Month-to-month,Yes,Credit card,46.63,4336.16,5/7/2024,Yes,A
20617,Female,0,Yes,Yes,45,Yes,No,No,No,No internet service,No internet service,No,Yes,Yes,Month to month,No,Credit card,,2713.77,10/22/2024,No,A
10935,Male,0,No,No,52,Yes,No,No,Yes,Yes,N,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer,57.79,3434.33,8/10/2023,No,B
17847,M,0,No,No,40,No,No,DSL,No internet service,No,Yes,No internet service,Yes,Yes,One year,No,Electronic check,$21.13 ,6920.12,7/23/2021,No,A
1352,F,0,Yes,No,26,Yes,No,No,No internet service,Yes,No internet service,No,No,Y,One year,No,e-check,,5505.26,6/3/2020,No,A
20899,male,0,N,Yes,22,N,Yes,fiber,No,N,No,No internet service,No,Yes,Two year,No,E-check,115.47,7173.88,6/14/2023,No,A
17345,Male,0,Yes,Yes,7,Yes,No,DSL,No,No,No,Yes,No internet service,No internet service,One year,Yes,Mailed check,61.19,3875.36,3/22/2024,No,A
17901,Male,No,No,No,51,Yes,No phone service,DSL,Yes,No internet service,No,Yes,N,Yes,Month to month,No,Mailed check,106.13,5453.2,8/13/2023,No,A
16068,Female,0,No,Yes,29,Yes,No phone service,Fiber optic,Yes,No internet service,No,Yes,No internet service,No,Month-to-month,No,Bank transfer,66.99,1252.83,12/18/2023,No,A
3253,Female,0,No,No,40,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,No,Month to month,Yes,Credit card,68.61,552.63,7/10/2022,No,A
19906,Female,0,Yes,No,67,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,No internet service,Yes,Two Year,Yes,Electronic check,41.01,1817.01,2/19/2021,No,A
10721,Female,0,No,No,17,Yes,Yes,No,No,No internet service,Yes,No internet service,No internet service,No,One year,Yes,Electronic check,40.19,5921.9,10/14/2023,No,A
19774,Female,0,Yes,No,11,Yes,Yes,No,No internet service,Yes,No,No internet service,No,Yes,One year,No,Electronic check,21.46,360.46,3/24/2021,No,A
14471,Male,0,Yes,No,41,N,No,Fiber optic,Yes,No,No,No,N,No,Month-to-month,Yes,Credit card,38.79,2093.59,4/25/2021,No,A
7384,Male,0,No,Yes,62,No,No,DSL,Yes,Y,No,No,No,No,Month-to-month,No,e-check,61.86,,9/10/2023,No,A
5141,Male,0,N,Yes,46,Y,N,Fiber optic,Yes,Yes,Y,No,Yes,Yes,One year,Yes,Electronic check,96.94,2840.14,12/28/2021,No,A
19045,M,0,Yes,No,9,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,No,Yes,Two Year,Yes,Credit card,92.52,6679.95,4/17/2021,No,A
13170,Male,1,No,No,5,Yes,No phone service,DSL,Yes,No internet service,Yes,No,N,No,Two year,Yes,Bank transfer,20.66,1060.08,3/16/2020,No,A
5619,Male,0,No,No,29,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,Yes,Yes,One year,No,Credit card,39.6,585,2/22/2022,No,B
17887,female,0,Yes,Yes,53,Yes,Yes,No,No internet service,No,No,No,N,No internet service,Month-to-month,Yes,Mailed check,25.71,7052.53,5/23/2024,No,A
1439,Female,0,N,N,29,Yes,Yes,fiber,No,No,No internet service,Yes,N,Yes,Month-to-month,No,Electronic check,73.32,5559.58,6/18/2021,No,A
2085,male,0,Yes,Y,56,No,Yes,DSL,No internet service,No internet service,No internet service,No,N,No,Month-to-month,No,Credit card,76.71,7882.75,12/28/2023,No,A
2731,Male,1,N,No,5,Yes,Yes,DSL,No internet service,Yes,No,Yes,No internet service,No internet service,Two year,Y,E-check,80.18,2801.27,2/23/2023,Yes,A
6136,Male,0,Yes,Yes,12,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,Yes,No internet service,Month-to-month,Y,Bank transfer,91.28,829.16,5/25/2021,No,A
19757,Male,0,N,Yes,23,Yes,Yes,Fiber optic,No internet service,No,No,No,No,Yes,Month to month,No,e-check,43.66,7801.95,2/25/2023,No,A
15575,Male,0,No,No,54,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,87.32,5748.82,4/27/2023,No,A
15958,M,0,N,Yes,0,Yes,Yes,DSL,No,Yes,Yes,No,Y,Yes,Month-to-month,Yes,Credit card,,7668.63,2/1/2022,No,A
14239,female,0,No,Yes,60,Yes,No,No,Y,N,Yes,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer,97.76,2959.62,3/24/2024,No,A
9583,F,No,Yes,No,33,No,No,DSL,Yes,No,No,N,Yes,No,One Year,Yes,Credit card,85.07,,5/23/2022,No,A
18482,F,1,No,Yes,52,Yes,No phone service,No,No,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,Y,Mailed check,$73.40 ,3341.2,4/5/2022,No,A
9342,Female,0,No,Yes,71,Yes,No,Fiber optic,Y,No,Yes,Yes,No,Yes,Month-to-month,Y,Bank transfer,22.42,7851.33,3/25/2020,No,A
3753,Male,1,No,Yes,40,Yes,No phone service,Fiber optic,No internet service,No internet service,N,No,No,Y,Month-to-month,No,Electronic check,75.91,3156.69,7/14/2022,No,A
12465,Female,1,No,Yes,30,No,No,DSL,No internet service,No internet service,No,Y,Yes,No internet service,One year,No,e-check,97.8,6582.33,6/4/2021,No,A
15680,F,0,No,No,12,Yes,No,DSL,No internet service,Y,No internet service,No,Yes,No internet service,Month-to-month,Yes,Bank transfer,,6405.4,3/14/2022,No,A
3806,female,0,No,Y,60,No,No,DSL,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,E-check,100.46,7242.32,7/9/2022,No,A
13137,Female,0,No,No,22,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,No,No,One Year,Yes,Mailed check,49.27,3155.27,2/22/2024,No,A
17623,Female,0,Yes,No,1,Yes,No phone service,No,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,97.65,6794.03,1/17/2021,Yes,B
12496,Female,1,No,N,19,Yes,Yes,fiber,Yes,Yes,No,Yes,No internet service,Y,One year,Yes,Bank transfer,52.41,"1,724",9/18/2023,No,A
12947,Male,0,Yes,No,34,No,No,DSL,Yes,Yes,No internet service,No,No internet service,Y,Month-to-month,No,E-check,65.27,1310.23,5/20/2023,No,A
14442,Female,0,No,Yes,15,Yes,No phone service,DSL,No internet service,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,20.09,"4,118",3/18/2024,No,A
9020,F,0,Yes,Yes,5,Yes,Yes,No,No,No,No,No,Yes,No,One year,No,E-check,717.3577222911268,969.63,4/21/2021,No,A
6377,Female,1,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,86.47,2775.68,8/2/2020,No,A
10261,Female,No,No,No,37,Yes,No,DSL,Yes,Y,Yes,Yes,No,No internet service,Two year,No,Mailed check,82.1,2484.52,7/9/2020,No,A
12563,F,0,No,Y,59,Yes,N,fiber,No internet service,Yes,No,No,Yes,Yes,One year,No,Credit card,$41.83 ,4466.86,5/15/2020,Yes,A
16510,Male,0,No,No,13,No,No,Fiber optic,No,No internet service,Yes,No,Yes,No internet service,Two year,N,Electronic check,45.45,4006.03,4/3/2020,No,A
1937,Male,0,No,No,52,Yes,No,Fiber optic,No internet service,No internet service,No,Y,Yes,No internet service,Month-to-month,Yes,Electronic check,50.25,7382.32,3/23/2020,No,A
12605,Male,No,No,N,0,No,No,Fiber optic,No,Yes,No,Y,Yes,Yes,Month-to-month,No,Credit card,60.8,301.86,11/5/2023,No,A
8661,Male,0,Yes,Y,49,Yes,No,DSL,No internet service,No internet service,No,Yes,No,No,Month-to-month,Y,Bank transfer,68.35,420.79,2/17/2024,No,A
10154,Female,0,Yes,N,36,Yes,No,Fiber optic,No,No internet service,No,No internet service,Y,No,One year,Yes,Electronic check,86.84,1648.04,1/1/2024,No,A
17950,Male,0,No,No,48,No,Yes,No,No,No,No internet service,N,Yes,Yes,Month to month,Yes,Credit card,,376.64,1/26/2021,No,A
10454,Male,0,Yes,No,52,Yes,No,Fiber optic,No internet service,No,No,Yes,Yes,No,One year,No,Electronic check,30.68,1169.94,3/8/2021,No,A
10971,Male,0,Yes,Yes,32,Yes,No,No,Yes,Yes,Yes,No internet service,Yes,No internet service,One year,No,Electronic check,92.91,7743.59,9/1/2023,No,A
18311,Female,No,Yes,No,5,No,Yes,Fiber optic,Yes,Yes,Y,No internet service,Yes,No internet service,Two Year,N,Electronic check,39.96,815.87,4/21/2023,No,A
19622,Female,0,Yes,Yes,33,Yes,No,DSL,No,No,No,No internet service,Yes,N,Month to month,Yes,e-check,36.87,,5/31/2020,No,A
14811,M,1,No,Yes,6,Yes,No phone service,No,Yes,No,Yes,Yes,Yes,No internet service,Month-to-month,Y,e-check,88.22,2698.97,10/29/2021,No,A
6223,Male,0,No,No,55,Y,Yes,DSL,No,No,No internet service,No,No internet service,No,Month-to-month,No,Credit card,,6340.72,4/21/2021,No,A
9409,Female,0,No,No,32,Yes,Yes,Fiber optic,No,Yes,No,Yes,No internet service,No,Two Year,Yes,Mailed check,82.89,6004.15,8/18/2020,No,A
19947,Male,0,No,Yes,41,Yes,No,DSL,Yes,No,Yes,No,No,No internet service,One year,Y,e-check,26.38,6227.14,8/11/2020,No,A
18577,Male,1,Yes,No,32,Yes,Y,No,Yes,N,No,Yes,No,No,Month-to-month,Yes,Bank transfer,84.66,3644.47,6/17/2023,No,A
19610,Female,0,No,Yes,27,Yes,Yes,No,Yes,No,N,No,No internet service,Yes,Two year,No,Bank transfer,21.65,4714.45,6/1/2020,No,A
10967,Female,0,No,No,35,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Y,Bank transfer,76.93,6471.12,3/16/2020,No,A
9254,Female,0,Yes,No,70,Yes,No,No,Yes,No,No,Yes,Y,No,One year,No,Electronic check,51.98,1305.62,9/10/2021,No,A
1448,Female,0,Yes,No,15,Yes,No,Fiber optic,No,Yes,Y,Yes,No,No internet service,One year,Yes,Bank transfer,$73.42 ,3826.62,7/10/2023,No,A
5986,Male,1,No,No,36,Y,No,Fiber optic,No,No internet service,Yes,Yes,Yes,No,Two year,No,e-check,104.05,1818.83,10/30/2021,No,A
10749,Male,1,Yes,No,53,N,No,No,Yes,No,Y,No,N,Yes,One year,Yes,Mailed check,$69.86 ,2382.64,3/25/2021,No,A
18093,female,0,Yes,No,53,Yes,Yes,Fiber optic,No internet service,No,No,No,No internet service,No,Month-to-month,Yes,Mailed check,58.93,7330.48,12/23/2022,No,A
16488,Male,0,No,No,24,Yes,No phone service,DSL,Yes,Yes,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer,,3565.15,9/28/2024,No,A
19327,Female,1,No,N,14,Yes,No phone service,No,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,96.38,6575.34,7/14/2023,No,A
19304,F,0,N,Yes,61,Yes,No,No,No,N,No,No,No,No,Month-to-month,Yes,Mailed check,118.79,2304.49,2/28/2024,No,A
8585,Female,0,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,No internet service,Y,No,Two year,Yes,e-check,28.68,7985.91,4/27/2021,No,A
10383,Female,No,Yes,No,42,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,No internet service,Y,One year,Yes,Electronic check,52.28,2958.47,4/7/2020,No,A
9732,Female,0,No,No,46,No,Yes,No,N,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,47.21,5362.74,5/18/2021,No,B
19295,M,0,No,No,21,No,No,No,Yes,No internet service,No,No,No,No internet service,One year,Yes,Electronic check,61.46,1629.51,2/22/2020,No,A
13104,Female,0,No,No,11,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Y,Mailed check,,7812.16,1/29/2020,No,A
1386,M,0,No,No,11,Yes,No phone service,Dsl,No,No internet service,No,Y,Yes,Yes,Month-to-month,No,Electronic check,,3186.94,11/27/2023,Yes,A
7269,Male,0,Yes,No,1,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,Y,No internet service,One year,No,Mailed check,,3705.73,8/10/2023,No,A
5528,male,0,Yes,Yes,19,Yes,Yes,fiber,Yes,No,No,Y,No internet service,Yes,Month-to-month,Yes,Electronic check,112.22,7184.95,1/25/2023,No,A
16124,Female,0,Yes,No,69,No,No,DSL,Yes,Yes,Yes,No,No internet service,No internet service,Two Year,Yes,Credit card,,6279.73,9/12/2020,No,A
5150,Female,0,No,Yes,60,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Two year,Yes,Electronic check,111.98,5825.69,3/29/2022,No,A
10996,F,Yes,No,No,31,Yes,Yes,Fiber optic,No,No internet service,No,No,No internet service,Yes,Month-to-month,No,Credit card,,,8/5/2020,No,A
14806,Male,0,No,Yes,27,Yes,Yes,fiber,No,Y,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,60.78,3756.29,3/27/2024,Yes,A
19538,F,0,Yes,No,38,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Two year,No,Electronic check,88.35,4491.34,8/12/2021,No,A
